Symbol,Volume
CAMT,150357.000000
CAPR,164982.000000
CAR,859028.000000
CARA,337715.000000
CARV,761346.000000
CARZ,4314.000000
CASH,56451.000000
CASI,111306.000000
CASS,45229.000000
CASY,72853.000000
CATB,510311.000000
CATH,8202.000000
CATM,279744.000000
CATY,187543.000000
CBAN,15950.000000
CBAY,1072729.000000
CBFV,2899.000000
CBIO,154808.000000
CBLI,73745.000000
CBNK,7946.000000
CBOE,265835.000000
CBPO,69331.000000
CBRL,103436.000000
CBSH,147492.000000
CCBG,10374.000000
CCD,78999.000000
CCLP,36075.000000
CCMP,59416.000000
CCNE,33032.000000
CCOI,146326.000000
CCRC,147277.000000
CCRN,97262.000000
CCUR,4001.000000
CCXI,295213.000000
CDC,12010.000000
CDK,312251.000000
CDL,3238.000000
CDNA,366682.000000
CDNS,1103874.000000
CDOR,49424.000000
CDTI,6076.000000
CDTX,578317.000000
CDW,253964.000000
CDXC,2712802.000000
CDXS,295005.000000
CDZI,24563.000000
CECE,121552.000000
CEMI,360532.000000
CENT,32722.000000
CENTA,92619.000000
CENX,745267.000000
CERC,292810.000000
CERN,900691.000000
CERS,1470813.000000
CETX,712091.000000
CEVA,138069.000000
CEZ,100.000000
CFA,6327.000000
CFBK,341.000000
CFFI,4203.000000
CFFN,173901.000000
CFMS,6123370.000000
CFNB,0.000000
CFO,11215.000000
CFRX,122948.000000
CG,392951.000000
CGEN,716625.000000
CGIX,368264.000000
CGNT,152837.000000
CGNX,521120.000000
CGO,12477.000000
CHCI,14089.000000
CHCO,13967.000000
CHDN,106632.000000
CHEF,253171.000000
CHEK,1507434.000000
CHI,126316.000000
CHKP,347225.000000
CHMA,4466031.000000
CHMG,440.000000
CHNR,231270.000000
CHRS,740232.000000
CHRW,351434.000000
CHSCL,8298.000000
CHSCM,2895.000000
CHSCN,2702.000000
CHSCO,4957.000000
CHSCP,8861.000000
CHTR,611477.000000
CHUY,128239.000000
CHW,89667.000000
CHY,116069.000000
CIBR,372834.000000
CID,768.000000
CIDM,6218633.000000
CIGI,24657.000000
CIL,0.000000
CINF,258433.000000
CIVB,13049.000000
CIZ,6441.000000
CIZN,1.000000
CJJD,214297.000000
CLBS,7446125.000000
CLDX,230123.000000
CLFD,97503.000000
CLIR,71276.000000
CLLS,192119.000000
CLMT,163779.000000
CLNE,2584153.000000
CLRB,790377.000000
CLRBZ,37306.000000
CLRO,79145.000000
CLSD,59374.000000
CLSN,3309545.000000
CLVS,4000238.000000
CLWT,89306.000000
CMCO,41317.000000
CMCSA,9339882.000000
CMCT,3740.000000
CME,435694.000000
CMLS,50677.000000
CMPR,48244.000000
CMRX,393522.000000
CMTL,152905.000000
CNBKA,21923.000000
CNCE,177005.000000
CNCR,2120.000000
CNET,1060953.000000
CNFR,39077.000000
CNMD,102787.000000
CNOB,56232.000000
CNSL,217515.000000
CNTY,126980.000000
CNXN,18623.000000
COHR,76115.000000
COHU,677941.000000
COKE,9644.000000
COLB,267260.000000
COLL,171232.000000
COLM,127519.000000
COMM,708993.000000
COMT,146412.000000
CONE,307029.000000
CONN,62590.000000
COOL,337707.000000
CORE,96539.000000
CORT,232178.000000
